fips2010,State,County,cbsasub,areaname,lim50_19p1,lim50_19p2,lim50_19p3,lim50_19p4,lim50_19p5,lim50_19p6,lim50_19p7,lim50_19p8,lim120_19p1,lim120_19p2,lim120_19p3,lim120_19p4,lim120_19p5,lim120_19p6,lim120_19p7,lim120_19p8,fips2000,name
2806199999,28,61,NCNTY28061N28061,"Jasper County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2806199999,Jasper County
2806399999,28,63,NCNTY28063N28063,"Jefferson County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2806399999,Jefferson County
2806599999,28,65,NCNTY28065N28065,"Jefferson Davis County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2806599999,Jefferson Davis County
2806799999,28,67,NCNTY28067N28067,"Jones County, MS",18100,20700,23300,25850,27950,30000,32100,34150,43450,49650,55850,62050,67000,71950,76950,81900,2806799999,Jones County
2806999999,28,69,NCNTY28069N28069,"Kemper County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2806999999,Kemper County
2807199999,28,71,NCNTY28071N28071,"Lafayette County, MS",24550,28050,31550,35050,37900,40700,43500,46300,58900,67300,75700,84100,90850,97600,104300,111050,2807199999,Lafayette County
2807399999,28,73,METRO25620M25620,"Hattiesburg, MS MSA",22000,25150,28300,31400,33950,36450,38950,41450,52750,60300,67800,75350,81400,87400,93450,99500,2807399999,Lamar County
2807599999,28,75,NCNTY28075N28075,"Lauderdale County, MS",18100,20700,23300,25850,27950,30000,32100,34150,43450,49650,55850,62050,67000,71950,76950,81900,2807599999,Lauderdale County
2807799999,28,77,NCNTY28077N28077,"Lawrence County, MS",17400,19900,22400,24850,26850,28850,30850,32850,41750,47700,53700,59650,64400,69200,73950,78700,2807799999,Lawrence County
2807999999,28,79,NCNTY28079N28079,"Leake County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2807999999,Leake County
2808199999,28,81,NCNTY28081N28081,"Lee County, MS",21000,24000,27000,29950,32350,34750,37150,39550,50300,57500,64700,71900,77650,83400,89150,94900,2808199999,Lee County
2808399999,28,83,NCNTY28083N28083,"Leflore County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2808399999,Leflore County
2808599999,28,85,NCNTY28085N28085,"Lincoln County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2808599999,Lincoln County
2808799999,28,87,NCNTY28087N28087,"Lowndes County, MS",19400,22200,24950,27700,29950,32150,34350,36600,46550,53200,59850,66500,71800,77100,82450,87750,2808799999,Lowndes County
2808999999,28,89,METRO27140M27140,"Jackson, MS HUD Metro FMR Area",23550,26900,30250,33600,36300,39000,41700,44400,56450,64500,72600,80650,87100,93550,100000,106450,2808999999,Madison County
2809199999,28,91,NCNTY28091N28091,"Marion County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2809199999,Marion County
2809399999,28,93,METRO32820N28093,"Marshall County, MS HUD Metro FMR Area",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2809399999,Marshall County
2809599999,28,95,NCNTY28095N28095,"Monroe County, MS",18100,20650,23250,25800,27900,29950,32000,34100,43350,49550,55750,61900,66850,71850,76800,81750,2809599999,Monroe County
2809799999,28,97,NCNTY28097N28097,"Montgomery County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2809799999,Montgomery County
2809999999,28,99,NCNTY28099N28099,"Neshoba County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2809999999,Neshoba County
2810199999,28,101,NCNTY28101N28101,"Newton County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2810199999,Newton County
2810399999,28,103,NCNTY28103N28103,"Noxubee County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2810399999,Noxubee County
2810599999,28,105,NCNTY28105N28105,"Oktibbeha County, MS",20850,23800,26800,29750,32150,34550,36900,39300,50000,57100,64250,71400,77100,82800,88550,94250,2810599999,Oktibbeha County
2810799999,28,107,NCNTY28107N28107,"Panola County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2810799999,Panola County
2810999999,28,109,NCNTY28109N28109,"Pearl River County, MS",19950,22800,25650,28450,30750,33050,35300,37600,47800,54600,61450,68300,73750,79200,84650,90150,2810999999,Pearl River County
2811199999,28,111,METRO25620M25620,"Hattiesburg, MS MSA",22000,25150,28300,31400,33950,36450,38950,41450,52750,60300,67800,75350,81400,87400,93450,99500,2811199999,Perry County
2811399999,28,113,NCNTY28113N28113,"Pike County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2811399999,Pike County
2811599999,28,115,NCNTY28115N28115,"Pontotoc County, MS",18300,20900,23500,26100,28200,30300,32400,34500,43850,50100,56400,62650,67650,72650,77650,82700,2811599999,Pontotoc County
2811799999,28,117,NCNTY28117N28117,"Prentiss County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2811799999,Prentiss County
2811999999,28,119,NCNTY28119N28119,"Quitman County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2811999999,Quitman County
2812199999,28,121,METRO27140M27140,"Jackson, MS HUD Metro FMR Area",23550,26900,30250,33600,36300,39000,41700,44400,56450,64500,72600,80650,87100,93550,100000,106450,2812199999,Rankin County
2812399999,28,123,NCNTY28123N28123,"Scott County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2812399999,Scott County
