fips2000,State,County,CBSASub,Areaname,fips2010,lim50_15p1,lim50_15p2,lim50_15p3,lim50_15p4,lim50_15p5,lim50_15p6,lim50_15p7,lim50_15p8,lim120_15p1,lim120_15p2,lim120_15p3,lim120_15p4,lim120_15p5,lim120_15p6,lim120_15p7,lim120_15p8,name
2208399999,22,83,NCNTY22083N22083,"Richland Parish, LA",2208399999,17100,19550,22000,24400,26400,28350,30300,32250,41000,46850,52700,58550,63250,67950,72600,77300,Richland Parish
2208599999,22,85,NCNTY22085N22085,"Sabine Parish, LA",2208599999,17400,19900,22400,24850,26850,28850,30850,32850,41750,47700,53700,59650,64400,69200,73950,78700,Sabine Parish
2208799999,22,87,METRO35380M35380,"New Orleans-Metairie-Kenner, LA MSA",2208799999,21000,24000,27000,30000,32400,34800,37200,39600,50400,57600,64800,72000,77750,83500,89300,95050,St. Bernard Parish
2208999999,22,89,METRO35380M35380,"New Orleans-Metairie-Kenner, LA MSA",2208999999,21000,24000,27000,30000,32400,34800,37200,39600,50400,57600,64800,72000,77750,83500,89300,95050,St. Charles Parish
2209199999,22,91,METRO12940M12940,"Baton Rouge, LA HUD Metro FMR Area",2209199999,22950,26200,29500,32750,35400,38000,40650,43250,55000,62900,70750,78600,84900,91200,97450,103750,St. Helena Parish
2209399999,22,93,NCNTY22093N22093,"St. James Parish, LA",2209399999,23450,26800,30150,33450,36150,38850,41500,44200,56200,64200,72250,80300,86700,93100,99550,105950,St. James Parish
2209599999,22,95,METRO35380M35380,"New Orleans-Metairie-Kenner, LA MSA",2209599999,21000,24000,27000,30000,32400,34800,37200,39600,50400,57600,64800,72000,77750,83500,89300,95050,St. John the Baptist Parish
2209799999,22,97,NCNTY22097N22097,"St. Landry Parish, LA",2209799999,17100,19550,22000,24400,26400,28350,30300,32250,41000,46850,52700,58550,63250,67950,72600,77300,St. Landry Parish
2209999999,22,99,METRO29180M29180,"Lafayette, LA MSA",2209999999,22200,25350,28500,31650,34200,36750,39250,41800,53150,60750,68350,75950,82050,88100,94200,100250,St. Martin Parish
2210199999,22,101,NCNTY22101N22101,"St. Mary Parish, LA",2210199999,17750,20250,22800,25300,27350,29350,31400,33400,42500,48600,54650,60700,65600,70450,75300,80150,St. Mary Parish
2210399999,22,103,METRO35380M35380,"New Orleans-Metairie-Kenner, LA MSA",2210399999,21000,24000,27000,30000,32400,34800,37200,39600,50400,57600,64800,72000,77750,83500,89300,95050,St. Tammany Parish
2210599999,22,105,NCNTY22105N22105,"Tangipahoa Parish, LA",2210599999,17150,19600,22050,24500,26500,28450,30400,32350,41150,47050,52900,58800,63500,68200,72900,77600,Tangipahoa Parish
2210799999,22,107,NCNTY22107N22107,"Tensas Parish, LA",2210799999,17100,19550,22000,24400,26400,28350,30300,32250,41000,46850,52700,58550,63250,67950,72600,77300,Tensas Parish
2210999999,22,109,METRO26380M26380,"Houma-Bayou Cane-Thibodaux, LA MSA",2210999999,20550,23500,26450,29350,31700,34050,36400,38750,49300,56350,63400,70450,76100,81700,87350,93000,Terrebonne Parish
2211199999,22,111,METRO33740M33740,"Monroe, LA MSA",2211199999,17500,20000,22500,25000,27000,29000,31000,33000,42000,48000,54000,60000,64800,69600,74400,79200,Union Parish
2211399999,22,113,NCNTY22113N22113,"Vermilion Parish, LA",2211399999,20650,23600,26550,29500,31900,34250,36600,38950,49550,56650,63700,70800,76450,82150,87800,93450,Vermilion Parish
2211599999,22,115,NCNTY22115N22115,"Vernon Parish, LA",2211599999,19200,21950,24700,27400,29600,31800,34000,36200,46050,52600,59200,65750,71000,76300,81550,86800,Vernon Parish
2211799999,22,117,NCNTY22117N22117,"Washington Parish, LA",2211799999,17100,19550,22000,24400,26400,28350,30300,32250,41000,46850,52700,58550,63250,67950,72600,77300,Washington Parish
2211999999,22,119,NCNTY22119N22119,"Webster Parish, LA",2211999999,17100,19550,22000,24400,26400,28350,30300,32250,41000,46850,52700,58550,63250,67950,72600,77300,Webster Parish
2212199999,22,121,METRO12940M12940,"Baton Rouge, LA HUD Metro FMR Area",2212199999,22950,26200,29500,32750,35400,38000,40650,43250,55000,62900,70750,78600,84900,91200,97450,103750,West Baton Rouge Parish
2212399999,22,123,NCNTY22123N22123,"West Carroll Parish, LA",2212399999,17100,19550,22000,24400,26400,28350,30300,32250,41000,46850,52700,58550,63250,67950,72600,77300,West Carroll Parish
2212599999,22,125,METRO12940M12940,"Baton Rouge, LA HUD Metro FMR Area",2212599999,22950,26200,29500,32750,35400,38000,40650,43250,55000,62900,70750,78600,84900,91200,97450,103750,West Feliciana Parish
2212799999,22,127,NCNTY22127N22127,"Winn Parish, LA",2212799999,17100,19550,22000,24400,26400,28350,30300,32250,41000,46850,52700,58550,63250,67950,72600,77300,Winn Parish
2300102060,23,1,METRO30340M30340,"Lewiston-Auburn, ME MSA",2300102060,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Auburn city
2300119105,23,1,METRO30340M30340,"Lewiston-Auburn, ME MSA",2300119105,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Durham town
2300129255,23,1,METRO30340M30340,"Lewiston-Auburn, ME MSA",2300129255,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Greene town
2300138565,23,1,METRO30340M30340,"Lewiston-Auburn, ME MSA",2300138565,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Leeds town
2300138740,23,1,METRO30340M30340,"Lewiston-Auburn, ME MSA",2300138740,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Lewiston city
2300140035,23,1,METRO30340M30340,"Lewiston-Auburn, ME MSA",2300140035,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Lisbon town
2300140665,23,1,METRO30340M30340,"Lewiston-Auburn, ME MSA",2300140665,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Livermore town
