fips2000,State,County,CBSASub,Areaname,fips2010,lim50_14p1,lim50_14p2,lim50_14p3,lim50_14p4,lim50_14p5,lim50_14p6,lim50_14p7,lim50_14p8,lim120_14p1,lim120_14p2,lim120_14p3,lim120_14p4,lim120_14p5,lim120_14p6,lim120_14p7,lim120_14p8,name
0100199999,1,1,METRO33860M33860,"Montgomery, AL MSA",0100199999,20900,23850,26850,29800,32200,34600,37000,39350,50050,57200,64350,71500,77250,82950,88700,94400,Autauga County
0100399999,1,3,NCNTY01003N01003,"Baldwin County, AL",0100399999,22200,25400,28550,31700,34250,36800,39350,41850,53250,60850,68450,76100,82150,88250,94350,100450,Baldwin County
0100599999,1,5,NCNTY01005N01005,"Barbour County, AL",0100599999,16450,18800,21150,23500,25400,27300,29150,31050,39500,45100,50750,56400,60900,65400,69950,74450,Barbour County
0100799999,1,7,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0100799999,21350,24400,27450,30500,32950,35400,37850,40300,51250,58550,65900,73200,79050,84900,90750,96600,Bibb County
0100999999,1,9,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0100999999,21350,24400,27450,30500,32950,35400,37850,40300,51250,58550,65900,73200,79050,84900,90750,96600,Blount County
0101199999,1,11,NCNTY01011N01011,"Bullock County, AL",0101199999,16450,18800,21150,23500,25400,27300,29150,31050,39500,45100,50750,56400,60900,65400,69950,74450,Bullock County
0101399999,1,13,NCNTY01013N01013,"Butler County, AL",0101399999,16450,18800,21150,23500,25400,27300,29150,31050,39500,45100,50750,56400,60900,65400,69950,74450,Butler County
0101599999,1,15,METRO11500M11500,"Anniston-Oxford, AL MSA",0101599999,18100,20650,23250,25800,27900,29950,32000,34100,43350,49550,55750,61900,66850,71850,76800,81750,Calhoun County
0101799999,1,17,NCNTY01017N01017,"Chambers County, AL",0101799999,16450,18800,21150,23500,25400,27300,29150,31050,39500,45100,50750,56400,60900,65400,69950,74450,Chambers County
0101999999,1,19,NCNTY01019N01019,"Cherokee County, AL",0101999999,17200,19650,22100,24550,26550,28500,30450,32450,41250,47150,53050,58900,63650,68350,73050,77750,Cherokee County
0102199999,1,21,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",0102199999,18600,21250,23900,26550,28700,30800,32950,35050,44600,51000,57350,63700,68800,73900,79000,84100,Chilton County
0102399999,1,23,NCNTY01023N01023,"Choctaw County, AL",0102399999,16450,18800,21150,23500,25400,27300,29150,31050,39500,45100,50750,56400,60900,65400,69950,74450,Choctaw County
